species_common,species_scientific,country,admin1,admin1_code,year,population_estimate,estimate_type,source_name,source_url,source_notes
Gray wolf,Canis lupus,United States,Alaska,AK,2022,9000,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Minnesota,MN,2023,2919,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Idaho,ID,2022,1337,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Montana,MT,2022,1087,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Wisconsin,WI,2023,1007,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies. Original CSV used WS; normalized here to WI."
Gray wolf,Canis lupus,United States,Michigan,MI,2024,762,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Wyoming,WY,2023,352,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Washington,WA,2022,216,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Oregon,OR,2023,178,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,New Mexico,NM,2023,144,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies. Mexican wolf population is managed jointly across AZ/NM; verify split before using analytically."
Gray wolf,Canis lupus,United States,Arizona,AZ,2023,113,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies. Mexican wolf population is managed jointly across AZ/NM; verify split before using analytically."
Gray wolf,Canis lupus,United States,California,CA,2024,44,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
Gray wolf,Canis lupus,United States,Colorado,CO,2024,12,estimated population,US Wolf Populations 2024 gist,https://gist.githubusercontent.com/rlvaugh/f927ee9759db4e0b742356a5f160d682/raw/28001b2bd4f75e633fd932f6470ed6bd07e541a8/gray_wolf_populations.csv,"Community-compiled snapshot; source note says data came from state wildlife/fisheries or natural resources agencies."
